Transaction_ID,Customer_ID,Date_Time,Store_Location,Product,Brand,Quantity,Price_Per_Unit,Total_Price,Payment_Method
TXN_1,CUST_46,2023-09-06 20:02:00,Store_B,Pickled Cucumbers,Brand_A,2,2.67,5.34,Cash
TXN_2,CUST_279,2023-09-03 09:53:00,Store_D,Pickled Cucumbers,Brand_C,2,1.84,3.68,Mobile Payment
TXN_3,CUST_210,2023-09-09 20:40:00,Store_D,Cucumber,Brand_B,4,0.91,3.64,Credit Card
TXN_4,CUST_133,2023-09-16 20:35:00,Store_B,Cucumber,Brand_A,4,1.17,4.68,Mobile Payment
TXN_5,CUST_114,2023-09-30 12:22:00,Store_A,Cucumber,Brand_A,2,1.42,2.84,Mobile Payment
TXN_6,CUST_93,2023-09-08 20:08:00,Store_A,Pickled Cucumbers,Brand_A,5,2.46,12.3,Mobile Payment
TXN_7,CUST_132,2023-09-17 15:33:00,Store_A,Pickled Cucumbers,Brand_A,5,2.76,13.799999999999999,Mobile Payment
TXN_8,CUST_276,2023-09-27 18:11:00,Store_A,Pickled Cucumbers,Brand_B,2,2.01,4.02,Credit Card
TXN_9,CUST_39,2023-09-09 18:33:00,Store_D,Cucumber,Brand_B,3,1.25,3.75,Mobile Payment
TXN_10,CUST_73,2023-09-04 11:20:00,Store_B,Pickled Cucumbers,Brand_B,4,2.03,8.12,Cash
TXN_11,CUST_147,2023-09-22 15:11:00,Store_A,Pickled Cucumbers,Brand_A,1,2.73,2.73,Cash
TXN_12,CUST_191,2023-09-08 08:54:00,Store_A,Cucumber,Brand_C,3,0.87,2.61,Mobile Payment
TXN_13,CUST_240,2023-09-22 08:47:00,Store_A,Pickled Cucumbers,Brand_B,2,1.86,3.72,Credit Card
TXN_14,CUST_68,2023-09-04 10:33:00,Store_B,Cucumber,Brand_A,5,1.04,5.2,Cash
TXN_15,CUST_166,2023-09-18 18:18:00,Store_D,Pickled Cucumbers,Brand_A,5,2.5,12.5,Credit Card
TXN_16,CUST_95,2023-09-16 14:07:00,Store_D,Pickled Cucumbers,Brand_A,5,2.5,12.5,Mobile Payment
TXN_17,CUST_279,2023-09-27 13:58:00,Store_C,Pickled Cucumbers,Brand_A,5,2.46,12.3,Credit Card
TXN_18,CUST_74,2023-09-03 15:12:00,Store_A,Cucumber,Brand_A,2,1.48,2.96,Credit Card
TXN_19,CUST_229,2023-09-22 11:01:00,Store_A,Pickled Cucumbers,Brand_A,3,2.5,7.5,Mobile Payment
TXN_20,CUST_262,2023-09-27 16:29:00,Store_C,Pickled Cucumbers,Brand_A,3,2.64,7.92,Cash
TXN_21,CUST_109,2023-09-11 19:28:00,Store_A,Cucumber,Brand_B,3,1.01,3.0300000000000002,Cash
TXN_22,CUST_198,2023-09-02 19:49:00,Store_A,Pickled Cucumbers,Brand_A,4,2.61,10.44,Mobile Payment
TXN_23,CUST_194,2023-09-17 11:47:00,Store_A,Pickled Cucumbers,Brand_A,5,2.65,13.25,Mobile Payment
TXN_24,CUST_175,2023-09-13 18:59:00,Store_B,Cucumber,Brand_A,1,1.06,1.06,Credit Card
TXN_25,CUST_94,2023-09-30 15:54:00,Store_D,Cucumber,Brand_A,4,1.36,5.44,Cash
TXN_26,CUST_55,2023-09-20 08:42:00,Store_C,Cucumber,Brand_B,5,1.1,5.5,Cash
TXN_27,CUST_167,2023-09-12 13:56:00,Store_C,Cucumber,Brand_A,3,1.05,3.1500000000000004,Mobile Payment
TXN_28,CUST_55,2023-09-01 08:08:00,Store_B,Pickled Cucumbers,Brand_A,1,2.84,2.84,Mobile Payment
TXN_29,CUST_87,2023-09-25 11:15:00,Store_C,Cucumber,Brand_A,2,1.31,2.62,Mobile Payment
TXN_30,CUST_37,2023-09-01 09:44:00,Store_C,Pickled Cucumbers,Brand_A,4,2.68,10.72,Credit Card
TXN_31,CUST_82,2023-09-21 10:36:00,Store_D,Pickled Cucumbers,Brand_B,5,2.36,11.799999999999999,Credit Card
TXN_32,CUST_200,2023-09-18 11:33:00,Store_D,Cucumber,Brand_A,3,1.15,3.4499999999999997,Credit Card
TXN_33,CUST_232,2023-09-16 08:00:00,Store_D,Pickled Cucumbers,Brand_A,4,2.05,8.2,Mobile Payment
TXN_34,CUST_174,2023-09-03 08:51:00,Store_C,Cucumber,Brand_C,4,0.83,3.32,Credit Card
TXN_35,CUST_55,2023-09-07 16:44:00,Store_C,Cucumber,Brand_C,3,1.05,3.1500000000000004,Cash
TXN_36,CUST_45,2023-09-12 10:08:00,Store_C,Cucumber,Brand_B,4,1.07,4.28,Cash
TXN_37,CUST_102,2023-09-05 16:36:00,Store_B,Pickled Cucumbers,Brand_A,2,2.73,5.46,Credit Card
TXN_38,CUST_153,2023-09-01 12:47:00,Store_D,Pickled Cucumbers,Brand_A,3,2.33,6.99,Mobile Payment
TXN_39,CUST_189,2023-09-22 14:50:00,Store_A,Cucumber,Brand_B,3,1.04,3.12,Credit Card
TXN_40,CUST_240,2023-09-13 15:12:00,Store_B,Pickled Cucumbers,Brand_A,3,2.97,8.91,Cash
TXN_41,CUST_240,2023-09-23 08:32:00,Store_C,Pickled Cucumbers,Brand_A,5,2.04,10.2,Cash
TXN_42,CUST_126,2023-09-28 10:47:00,Store_A,Cucumber,Brand_A,1,1.13,1.13,Credit Card
TXN_43,CUST_269,2023-09-22 15:52:00,Store_C,Pickled Cucumbers,Brand_A,5,2.76,13.799999999999999,Cash
TXN_44,CUST_273,2023-09-04 20:26:00,Store_A,Pickled Cucumbers,Brand_C,3,2.08,6.24,Mobile Payment
TXN_45,CUST_269,2023-09-29 14:04:00,Store_B,Pickled Cucumbers,Brand_A,3,2.65,7.949999999999999,Cash
TXN_46,CUST_25,2023-09-03 20:38:00,Store_A,Cucumber,Brand_B,3,0.91,2.73,Cash
TXN_47,CUST_160,2023-09-15 12:47:00,Store_B,Cucumber,Brand_A,1,1.12,1.12,Mobile Payment
TXN_48,CUST_278,2023-09-22 11:35:00,Store_B,Cucumber,Brand_A,1,1.08,1.08,Cash
TXN_49,CUST_94,2023-09-22 13:46:00,Store_B,Pickled Cucumbers,Brand_A,3,2.01,6.029999999999999,Cash
TXN_50,CUST_188,2023-09-20 09:48:00,Store_B,Pickled Cucumbers,Brand_A,5,2.84,14.2,Cash
TXN_51,CUST_118,2023-09-26 18:15:00,Store_D,Cucumber,Brand_C,2,0.98,1.96,Cash
TXN_52,CUST_48,2023-09-25 16:46:00,Store_A,Cucumber,Brand_B,1,1.3,1.3,Mobile Payment
TXN_53,CUST_42,2023-09-07 09:41:00,Store_B,Pickled Cucumbers,Brand_C,1,1.92,1.92,Cash
TXN_54,CUST_270,2023-09-23 15:19:00,Store_A,Cucumber,Brand_B,5,1.24,6.2,Credit Card
TXN_55,CUST_27,2023-09-10 18:14:00,Store_A,Cucumber,Brand_A,4,1.01,4.04,Mobile Payment
TXN_56,CUST_78,2023-09-08 11:26:00,Store_D,Cucumber,Brand_C,3,0.85,2.55,Credit Card
TXN_57,CUST_150,2023-09-09 16:08:00,Store_D,Cucumber,Brand_A,1,1.28,1.28,Mobile Payment
TXN_58,CUST_227,2023-09-09 09:43:00,Store_D,Cucumber,Brand_A,4,1.42,5.68,Credit Card
TXN_59,CUST_206,2023-09-04 14:32:00,Store_B,Pickled Cucumbers,Brand_A,5,2.66,13.3,Mobile Payment
TXN_60,CUST_233,2023-09-17 15:58:00,Store_C,Pickled Cucumbers,Brand_A,4,2.32,9.28,Cash
TXN_61,CUST_25,2023-09-04 13:12:00,Store_C,Pickled Cucumbers,Brand_A,5,2.66,13.3,Credit Card
TXN_62,CUST_193,2023-09-19 19:52:00,Store_A,Pickled Cucumbers,Brand_A,1,2.19,2.19,Credit Card
TXN_63,CUST_109,2023-09-02 08:34:00,Store_A,Pickled Cucumbers,Brand_B,5,2.03,10.149999999999999,Credit Card
TXN_64,CUST_114,2023-09-30 08:34:00,Store_B,Cucumber,Brand_A,1,1.07,1.07,Credit Card
TXN_65,CUST_217,2023-09-06 19:54:00,Store_B,Pickled Cucumbers,Brand_A,1,2.22,2.22,Credit Card
TXN_66,CUST_152,2023-09-17 13:04:00,Store_A,Pickled Cucumbers,Brand_A,3,2.06,6.18,Mobile Payment
TXN_67,CUST_225,2023-09-06 19:41:00,Store_A,Pickled Cucumbers,Brand_A,1,2.76,2.76,Credit Card
TXN_68,CUST_267,2023-09-03 17:08:00,Store_A,Cucumber,Brand_B,3,1.27,3.81,Credit Card
TXN_69,CUST_264,2023-09-04 09:53:00,Store_D,Pickled Cucumbers,Brand_A,5,2.79,13.95,Credit Card
TXN_70,CUST_168,2023-09-29 17:50:00,Store_D,Cucumber,Brand_C,4,1.0,4.0,Credit Card
TXN_71,CUST_124,2023-09-27 12:23:00,Store_B,Pickled Cucumbers,Brand_B,3,1.86,5.58,Cash
TXN_72,CUST_61,2023-09-14 15:46:00,Store_C,Cucumber,Brand_A,1,1.27,1.27,Cash
TXN_73,CUST_206,2023-09-12 18:25:00,Store_B,Cucumber,Brand_A,5,1.25,6.25,Credit Card
TXN_74,CUST_260,2023-09-22 14:48:00,Store_D,Pickled Cucumbers,Brand_B,1,2.49,2.49,Credit Card
TXN_75,CUST_89,2023-09-30 17:03:00,Store_B,Pickled Cucumbers,Brand_B,2,2.07,4.14,Mobile Payment
TXN_76,CUST_168,2023-09-04 10:36:00,Store_B,Pickled Cucumbers,Brand_B,5,2.18,10.9,Mobile Payment
TXN_77,CUST_179,2023-09-22 10:06:00,Store_D,Pickled Cucumbers,Brand_B,4,2.16,8.64,Cash
TXN_78,CUST_250,2023-09-12 16:03:00,Store_A,Pickled Cucumbers,Brand_A,2,2.66,5.32,Cash
TXN_79,CUST_21,2023-09-29 17:08:00,Store_B,Cucumber,Brand_A,4,1.17,4.68,Mobile Payment
TXN_80,CUST_235,2023-09-10 12:53:00,Store_A,Cucumber,Brand_A,5,1.06,5.300000000000001,Credit Card
TXN_81,CUST_255,2023-09-11 09:49:00,Store_D,Cucumber,Brand_B,1,1.01,1.01,Mobile Payment
TXN_82,CUST_112,2023-09-16 12:43:00,Store_A,Cucumber,Brand_B,4,1.2,4.8,Cash
TXN_83,CUST_223,2023-09-17 10:37:00,Store_B,Pickled Cucumbers,Brand_A,1,2.37,2.37,Credit Card
TXN_84,CUST_15,2023-09-11 18:19:00,Store_C,Cucumber,Brand_A,1,1.3,1.3,Credit Card
TXN_85,CUST_217,2023-09-29 20:05:00,Store_D,Cucumber,Brand_A,3,1.37,4.11,Credit Card
TXN_86,CUST_219,2023-09-26 08:21:00,Store_A,Cucumber,Brand_A,4,1.06,4.24,Mobile Payment
TXN_87,CUST_151,2023-09-30 08:59:00,Store_D,Cucumber,Brand_B,3,1.1,3.3000000000000003,Cash
TXN_88,CUST_256,2023-09-10 11:35:00,Store_A,Cucumber,Brand_B,4,1.13,4.52,Credit Card
TXN_89,CUST_162,2023-09-07 09:32:00,Store_C,Cucumber,Brand_B,1,1.34,1.34,Mobile Payment
TXN_90,CUST_90,2023-09-12 18:44:00,Store_C,Cucumber,Brand_A,5,1.33,6.65,Mobile Payment
