Transaction_ID,Cashier_ID,Date_Time,Store_Location,Product,Brand,Quantity,Price_Per_Unit,Total_Price,Payment_Method,Membership_ID
1,CASH_381,,Innsbruck,Eingelegte Melanzani,Brand B,2,9.03,18.06,Credit Card,M_1520
2,CASH_303,2024-09-03 19:01:35,Eisenstadt,Eingelegte Gurken,Brand B,8,8.28,66.24,Credit Card,M_3615
3,CASH_204,2024-07-20 06:48:21,Salzburg,Eingelegte Gurken,Brand A,6,6.43,38.58,Credit Card,M_9785
4,CASH_743,2024-07-11 17:18:53,St. Pölten,Eingelegte Gurken,Brand B,2,,,Cash,M_2307
5,CASH_954,2024-08-18 08:29:40,Klagenfurt,Eingelegte Melanzani,Brand C,6,3.4,20.4,Credit Card,M_3803
6,CASH_755,2024-08-29 12:17:59,Eisenstadt,Eingelegte Melanzani,Brand C,1,1.29,1.29,Mobile Payment,M_2084
7,CASH_505,2024-08-10 06:41:31,Bregenz,Eingelegte Melanzani,Brand C,3,6.05,18.15,Mobile Payment,M_8019
8,CASH_193,2024-07-29 04:32:31,Wien,Eingelegte Melanzani,Brand B,3,4.8,14.4,Credit Card,M_8668
9,CASH_798,2024-07-02 21:46:07,Eisenstadt,Eingelegte Gurken,Brand C,2,2.42,4.84,Credit Card,M_5315
10,CASH_405,,Eisenstadt,Eingelegte Oliven,Brand B,3,2.45,7.35,Credit Card,M_9005
11,CASH_999,2024-08-09 07:03:15,St. Pölten,Eingelegte Melanzani,Brand A,8,9.8,78.4,Cash,
12,CASH_533,2024-08-03 16:55:38,Innsbruck,Eingelegte Oliven,Brand B,5,7.05,35.25,Mobile Payment,M_9479
13,CASH_667,2024-07-09 10:01:37,Innsbruck,Eingelegte Oliven,Brand B,1,,,Credit Card,
14,CASH_785,,Bregenz,Eingelegte Melanzani,Brand B,10,3.19,31.9,Debit Card,M_4119
15,CASH_984,2024-08-15 13:26:29,Wien,Eingelegte Oliven,Brand A,1,4.05,4.05,Credit Card,
16,CASH_355,2024-08-24 05:17:29,Salzburg,Eingelegte Gurken,Brand A,1,5.87,5.87,Credit Card,M_4872
17,CASH_268,2024-07-28 12:57:03,Villach,Eingelegte Melanzani,Brand D,5,8.07,40.35,Mobile Payment,M_8973
18,CASH_162,2024-07-08 18:47:34,Klagenfurt,Eingelegte Melanzani,Brand A,10,9.27,92.7,Cash,
19,CASH_982,2024-07-09 19:04:43,Innsbruck,Eingelegte Gurken,Brand A,10,6.35,63.5,Credit Card,M_9565
20,CASH_371,2024-09-24 22:20:15,Villach,Eingelegte Melanzani,Brand C,8,7.77,62.16,Credit Card,
21,CASH_618,2024-07-13 02:34:13,Linz,Eingelegte Melanzani,Brand C,2,4.33,8.66,Cash,M_9900
22,CASH_936,2024-09-22 16:00:42,Eisenstadt,Eingelegte Gurken,Brand A,3,9.01,27.03,Cash,
23,CASH_370,,Eisenstadt,Eingelegte Gurken,Brand C,1,,,Debit Card,M_1722
24,CASH_552,2024-09-20 08:10:47,Eisenstadt,Eingelegte Oliven,Brand D,9,,,Credit Card,M_3442
25,CASH_230,2024-09-13 17:09:27,Wien,Eingelegte Gurken,Brand C,1,2.89,2.89,Cash,M_6794
26,CASH_342,2024-08-22 19:47:09,Graz,Eingelegte Melanzani,Brand D,1,9.32,9.32,Debit Card,M_5065
27,CASH_979,2024-07-14 12:55:02,Bregenz,Eingelegte Melanzani,Brand B,8,8.38,67.04,Cash,
28,CASH_459,,Eisenstadt,Eingelegte Gurken,Brand C,1,9.73,9.73,Cash,M_5349
29,CASH_546,2024-08-14 23:50:20,St. Pölten,Eingelegte Oliven,Brand A,7,2.71,18.97,Credit Card,M_1027
30,CASH_786,2024-09-26 23:47:47,Innsbruck,Eingelegte Gurken,Brand D,2,9.29,18.58,Mobile Payment,M_3041
31,CASH_512,2024-08-09 21:26:20,Linz,Eingelegte Oliven,Brand B,4,9.46,37.84,Cash,M_5930
32,CASH_904,2024-08-08 09:13:27,St. Pölten,Eingelegte Oliven,Brand C,8,7.08,56.64,Debit Card,M_3780
33,CASH_195,2024-09-23 20:39:21,Innsbruck,Eingelegte Oliven,Brand C,4,2.33,9.32,Credit Card,
34,CASH_744,2024-07-10 14:26:56,St. Pölten,Eingelegte Melanzani,Brand D,8,2.33,18.64,Credit Card,M_2746
35,CASH_670,2024-09-28 16:29:03,Innsbruck,Eingelegte Melanzani,Brand D,3,7.01,21.03,Mobile Payment,M_8251
36,CASH_661,2024-09-03 13:53:58,Bregenz,Eingelegte Melanzani,Brand D,8,3.23,25.84,Mobile Payment,M_9540
37,CASH_340,2024-08-26 02:45:18,Linz,Eingelegte Gurken,Brand C,9,,,Cash,
38,CASH_655,2024-07-09 13:26:21,Bregenz,Eingelegte Gurken,Brand A,4,4.51,18.04,Credit Card,M_7232
39,CASH_955,2024-08-08 12:54:57,Villach,Eingelegte Oliven,Brand B,8,4.92,39.36,Credit Card,M_7624
40,CASH_503,2024-07-17 19:34:01,St. Pölten,Eingelegte Oliven,Brand A,2,2.22,4.44,Debit Card,
41,CASH_488,2024-08-28 10:21:48,Linz,Eingelegte Gurken,Brand C,2,7.74,15.48,Credit Card,M_6733
42,CASH_353,2024-09-22 01:48:01,Innsbruck,Eingelegte Melanzani,Brand B,4,7.03,28.12,Cash,M_5198
43,CASH_896,2024-09-16 23:45:07,Graz,Eingelegte Gurken,Brand A,10,,,Mobile Payment,M_7149
44,CASH_742,2024-07-10 18:44:53,Innsbruck,Eingelegte Melanzani,Brand C,10,8.17,81.7,Credit Card,M_8018
45,CASH_530,2024-09-21 10:00:54,Bregenz,Eingelegte Melanzani,Brand D,6,8.46,50.76,Cash,M_9548
46,CASH_945,2024-09-07 15:29:27,St. Pölten,Eingelegte Gurken,Brand C,4,1.78,7.12,Debit Card,
47,CASH_971,2024-08-18 10:01:31,Klagenfurt,Eingelegte Melanzani,Brand D,4,3.33,13.32,Mobile Payment,M_5526
48,CASH_516,2024-07-25 02:15:46,Bregenz,Eingelegte Oliven,Brand B,8,5.42,43.36,Credit Card,
49,CASH_584,2024-08-09 21:37:23,Eisenstadt,Eingelegte Oliven,Brand C,7,5.95,41.65,Mobile Payment,M_5438
50,CASH_648,2024-07-25 10:07:47,Graz,Eingelegte Melanzani,Brand B,8,6.31,50.48,Mobile Payment,M_4180
51,CASH_229,,Linz,Eingelegte Melanzani,Brand A,9,9.5,85.5,Debit Card,
52,CASH_152,2024-08-31 14:21:11,Linz,Eingelegte Gurken,Brand A,2,1.67,3.34,Credit Card,
53,CASH_882,2024-07-11 07:07:35,Villach,Eingelegte Oliven,Brand B,9,9.18,82.62,Mobile Payment,M_8025
54,CASH_312,2024-09-17 23:06:48,Innsbruck,Eingelegte Gurken,Brand A,3,5.97,17.91,Cash,
55,CASH_823,2024-08-07 01:14:18,Linz,Eingelegte Oliven,Brand D,2,9.32,18.64,Cash,M_9922
56,CASH_269,2024-08-04 04:04:03,Linz,Eingelegte Oliven,Brand C,8,7.2,57.6,Debit Card,M_9199
57,CASH_852,2024-09-15 01:56:27,Klagenfurt,Eingelegte Oliven,Brand C,1,,,Credit Card,M_5415
